Name of Establishment,Address
JIBRIEL DRUGSTORE,"Tamborong, San Lorenzo, Guimaras, Western Visayas (Region VI), 5047, San Lorenzo, Guimaras"
AMAVIA PHARMACY,"Amavia Building cor. Yglesia & Zaldivar Sts., Brgy. 1 (Pob.), San Jose de Buenavista, Antique"
ALFARMA DRUGSTORE,"BAGUMBAYAN,BARANGAY 8, San Jose de Buenavista, Antique"
"WATSONS PERSONAL CARE STORES (PHILIPPINES), INC.","Mavikss Building Along Circumferential Road, Barangay San Miguel, Jordan, Guimaras"
MC Trinidad Blessed Pharmacy,"Brgy 7, Zone 12, Capt.Sabi St, Talisay City, Negros Occidental"
ALOHA PHARMACY,"Centro Poblacion, Culasi, Antique, Western Visayas (Region VI), 5708, Culasi, Antique"
E .V. Z. PHARMACY,"Q. Abeto St., Mandurriao, Iloilo City, Iloilo"
THE GENERICS PHARMACY,"Rizal St. cor. Monton St., Brgy. II, Himamaylan, Negros Occidental, Negros Island Region, 6108, Himamaylan, Negros Occidental"
PB PHARMACY,"Bancal, Carles, Iloilo"
Rx Med Pharmacy,"Door 2, Arika Building 1, Gomez Street, Barangay 2, Silay City, Negros Occidental"
Anipan Drugstore,"Poblacion, Nabas, Aklan"
CLINIVA DRUGSTORE,"Zamora St., Barangay Ilaud Poblacion, Barotac Nuevo, Iloilo, Western Visayas (Region VI), 5007, Barotac Nuevo, Iloilo"
GENERIKA DRUGSTORE,"Stall No. FI-1, Sigma Public Market,  Brgy. Poblacion Norte, Sigma, Capiz"
MARLO'S PHARMACY,"Cadiz City Public Market, Poblacion, Cadiz, Negros Occidental, Negros Island Region, 6121, Cadiz, Negros Occidental"
THE GENERICS PHARMACY,"BLOCK 2, LOT 29 &amp; 30, SASON BLDG., ALIJIS ROAD, BARANGAY ALIJIS, Bacolod, Negros Occidental"
BEE WELL PHARMACY,"Brgy. Poblacion, Numancia, Aklan"
Evean Pharmacy,"Barangay Jalaud Norte, Zarraga, Iloilo"
"METRO RETAIL STORES GROUP, INC.","Araneta St, Purok Providence, Sum-ag, Bacolod, Negros Occidental, Negros Island Region, 6100, Bacolod, Negros Occidental"
MERCURY DRUG,"Cor. Valeria-Delgado Sts., Ed Ganzon, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
ORETA PHARMACY,"NATIONAL ROAD, POBLACION, Sebase, Antique"
NEL\'S PHARMACY,"Poblacion, Anini-Y, Antique"
Kiel Pharmacy,"Ipil Street, Cubay, Barbaza, Antique"
S.G.C DRUGSTORE,"Brgy. San Francisco Sur, Tibiao, Antique"
PAUL JASLYN PHARMACY,"Corner Sitio, Cubay, Barangay Guinhalaran, Silay City, Negros Occidental"
DM PHARMACY,"Poblacion 2, Hamtic, Antique, Western Visayas (Region VI), 5715, Hamtic, Antique"
RSTAR PHARMACY,"Yanson St., Zone 7, Pulupandan, Negros Occidental, Negros Island Region, 6102, Pulupandan, Negros Occidental"
CEDELLA PHARMACY,"JAL Building, Magallanes Street, Poblacion, Alimodian, Iloilo"
SYMIEL'S MEDICINE CORNER,"8-A Yulo Drive, Sta. Filomena, Arevalo, Iloilo City, Iloilo"
HEALQUEST PHARMACY,"120 Cor. Rizal - Lopez Jaena Sts., Barangay 26, Bacolod City, Negros Occidental"
GENECES PHARMACY,"Ladrido St., Brgy. Poblacion Ilawod, Lambunao, Iloilo"
FARMACIA MARIA,"Terra plaza Building, Corner Rizal Gatuslao Street, Barangay 11, Bacolod City, Negros Occidental"
BLVD PHARMACY,"ZONE 1-B BARANGAY SAN JUAN, MOLO, Iloilo City, Iloilo"
Tintin\'s Drugstore,"Purok Mangga, Brgy. Tabugon, Kabankalan City, Negros Occidental"
CJE PHARMACY,"Dionela Commercial Complex, Brgy. Centro Norte, Pandan, Antique, Western Visayas (Region VI), 5712, Pandan, Antique"
RN PHARMACY,"Pototan New Market, Brgy. Malusgod, Pototan, Iloilo, Western Visayas (Region VI), 5008, Pototan, Iloilo"
TABLETAS SIX PHARMACY AND MEDICAL SUPPLIES,"Zone 2, Barangay Concepcion, Talisay City, Negros Occidental"
THE GENERICS PHARMACY,"Bermejo St., Cabatuan, Iloilo, Western Visayas (Region VI), 5031, Cabatuan, Iloilo"
VENMEDICA PHARMACY,"JTC Bldg., San Jose St., Brgy. North San Jose, Molo, Iloilo City, Iloilo"
CLAK Pharmacy,"Brgy. Poblacion, Lopez Jaena St. Molo, Iloilo City, Iloilo"
CITADEL APOTHECARY,"Bangga Totong, Brgy. Felisa, Bacolod, Negros Occidental, Negros Island Region, 6100, Bacolod, Negros Occidental"
BOTIKA DE STO. NIÃ‘O,"Barangay Our Lady of Lourdes, Jaro, Iloilo City, Iloilo"
Villegas Pharmacy,"Villanueva Bldg. JM Basa Street, Brgy. Arsenal-Aduana, Iloilo City, Iloilo"
F2D PHARMACY,"PUROK 5 HACIENDA CONCHITA, San Dionisio, Iloilo"
KING PHARMACY,"Rizal St., Guimbal, Iloilo, Western Visayas (Region VI), 5022, Guimbal, Iloilo"
Pedregosa DrugMart Co.,"Barangay Balabag, Santa Barbara, Iloilo, Santa Barbara, Iloilo"
SOUTH STAR DRUG,"Onate St., Brgy. Onate De Leon, Mandurriao, Iloilo City, Iloilo"
HEALTHMART DRUGSTORE,"Francisco Maravilla Street, Poblacion III, Enrique B. Magalona, Negros Occidental"
Rose Pharmacy,"Rizal Street, Barangay 1, Silay City, Negros Occidental"
BOTIKA FERRA,"Door #2 Granada Public Market, Purok1 Brgy. Granada, Bacolod City, Negros Occidental"
PILAR BEATA PHARMACY,"Rizal Street, Poblacion, Pilar, Capiz, Western Visayas (Region VI), 5804, Pilar, Capiz"
DINGLE GOVERNMENT WORKERS DEVELOPMENT COOPERATIVE (DGWDC),"Masna Street, Dingle, Iloilo"
FAMILYHEALTH &amp; BEAUTY CORP.,"Abelarde St., Barangay Zone III, Cadiz, Negros Occidental, Negros Island Region, 6121, Cadiz, Negros Occidental"
NEGROS GRACE PHARMACY,"Magallanes Street, Brgy. Sto. Rosario, Binalbagan, Negros Occidental"
ST. JOSEPH DRUGSTORE,"LIPAR BLDG., AZUCENA ST. POBLACION BANGA, AKLAN, Banga, Aklan"
ZAK PHARMACY,"BLOCK 9 LOT 2, BRGY. BOLILAO, MANDURRIAO, Iloilo City, Iloilo"
SOUTH STAR DRUG,"G/F L1 - 184 Robinson's Place, Quezon de Leon St., Brgy. Roxas Village, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
NEGROS GRACE PHARMACY,"Araneta St., Sum-ag, Bacolod, Negros Occidental"
Josmef Pharma Inc.,"Villaruel Building, Mabini St., Poblacion, Kalibo, Aklan"
NEGROS GRACE PHARMACY,"Corner Antonio Luna &amp; Rizal Sts., Silay, Negros Occidental"
RJB DRUGSTORE,"Luna St., Brgy. Bantud, Lapaz, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
GOODY'S DRUGSTORE,"Cor. Salvani- Alvaniz St. Poblacion, Patnongon, Antique"
TABLETAS 2 PHARMACY &amp; MEDICAL SUPPLIES,"CV Ramos Avenue, Purok Tapulanga, Brgy. Taculing, Bacolod City, Negros Occidental"
AJ AND CJ DRUGSTORE,"Sto. Rosario, Buenavista, Guimaras"
WELLCARE PHARMACY,"Barangay Poblacion, Tangalan, Aklan"
Generika Drugstore,"Corner Mercado St. and Castilla St., Barangay Claudio Lopez, Jaro, Iloilo City, Iloilo"
RXE Pharmacy,"F. Cabarles Street, Leon, Iloilo"
SUPER K DRUG VI,"Roxas Ave., Roxas, Capiz, Western Visayas (Region VI), 5800, Roxas, Capiz"
FARMACIA MYLA,"PUROK BOUGAINVILLA, BARANGAY ANTIPOLO, Pontevedra, Negros Occidental, Negros Island Region, 6105, Pontevedra, Negros Occidental"
RSRS PHARMACEUTICALS INC.,"Level 1 Space No.322 Robinsons Place Iloilo, Mabini De Leon St., Brgy. Roxas Village, Iloilo City, Iloilo"
BOTIKA MIZH,"BLK. 9&10, CAUAYAN PUBLIC MARKET, NATIONAL HIGHWAY, POBLACION, Cauayan, Negros Occidental"
978 PHARMACY,"Roxas Street, Brgy. Pob. II, Sagay, Negros Occidental, Negros Island Region, 6122, Sagay, Negros Occidental"
N.R. SOLIDUM DRUGSTORE,"IBAJAY PUBLIC MARKET, DALISAY STREET, Ibajay, Aklan"
Farmacia ni Dok,"Roxas Ave. cor Oyo Torong St. Poblacion, Kalibo, Aklan"
3MD PHARMACY,"national road,Brgy.Gua, Barbaza, Antique"
XYRA ANDREA PHARMACY,"Brgy. Ilaya 1st, Dumangas, Iloilo"
ALICE DRUG STORE,"G/F Hinigaran Framar G Bldg. 1, Rizal Street,, Brgy. IV, Hinigaran, Negros Occidental"
BOTICA XANDRA,"CEG COMMERCIAL BUILDING, ARANETA-RIZAL ST., BRGY. SUM AG, Bacolod City, Negros Occidental"
FOURMULA  1+ BOTIKA NG BAYAN (F1+ BNB),"San Antonio Street, Brgy. Zone II, Tubungan, Iloilo, Western Visayas (Region VI), 5027, Tubungan, Iloilo"
Mariabella Pharmacy,"Nonato building, Rizal Street, Brgy 3, Hinigaran, Negros Occidental"
MEDIPLUS PHARMACY,"Balabag, Santa Barbara, Iloilo, Western Visayas (Region VI), 5002, Santa Barbara, Iloilo"
"THE SKINCARE PROFESSIONALS OF ILOILO CITY, INC.","3rd Level, The Atrium Mall, Gen. Luna St., Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
AGT PHARMACY,"Pontevedra Public Market, Brgy. II, Pontevedra, Negros Occidental, Negros Island Region, 6105, Pontevedra, Negros Occidental"
THE GENERICS PHARMACY,"Bonifacio St., Brgy. Sta. Filomena, Arevalo,, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
SUPER K DRUG-VIII,"Mabini St., Poblacion, Kalibo, Aklan, Western Visayas (Region VI), 5600, Kalibo, Aklan"
GAVER PHARMACY,"GAVER Building , Roxas Avenue, Poblacion, Kalibo, Aklan, Western Visayas (Region VI), 5600, Kalibo, Aklan"
CLL Pharmacy,"106 Olaybar Street, Barangay Rizal, Silay, Negros Occidental"
SOUTHSTAR DRUG,"Araneta Alunan Streets Purok Sunshine, Barangay 36, Bacolod City, Negros Occidental"
I.S MEDICINE CORNER,"Iloilo Supermart, Plaza Molo, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
WOODSIDE PHARMACY,"Blk. 1 Lot 1 Woodside 2 Brgy. Mansilingan, Bacolod City, Negros Occidental"
GRV PHARMACY,"Public Market, La Castellana, Negros Occidental, Negros Island Region, 6131, La Castellana, Negros Occidental"
SOUTH STAR DRUG,"Level 1 00147-00148, Robinson's Place, Pueblo De Panay, Brgy. Lawa-an, Roxas City, Capiz"
"THE RIVERSIDE MEDICAL CENTER, INC.","SM City G/F (South Wing), Luzuriaga St., Brgy. 12, Bacolod, Negros Occidental"
ROSE PHARMACY,"Artates Bldg. National Highway, Barangay Poblacion Takas, Cuartero, Capiz"
ILOILO GRACE PHARMACY,"Brgy. Mamhut Sur, Balasan, Iloilo, Western Visayas (Region VI), 5018, Balasan, Iloilo"
JBJ Medical Health Corporation,"Lot 2835, Gustilo Street, Poblacion, Leganes Iloilo, Leganes, Iloilo, Western Visayas (Region VI), 5003, Leganes, Iloilo"
CC3 PHARMACY,"Poblacion (Public Market), Banate, Iloilo"
SANDROVAN DRUGSTORE,"Barangay 1 Poblacion, Hinoba-an, Negros Occidental, Negros Island Region, 6114, Hinoba-an, Negros Occidental"
SUPER K DRUG,"Simeon Aguilar St., Passi, Iloilo, Western Visayas (Region VI), 5037, Passi, Iloilo"
Saviour Pharmacy,"Barangay Buray, Oton, Iloilo"
Well Pharmacy,"Brgy. Poblacion, Cauayan, Negros Occidental"
EZRIELA PHARMACY,"Prk. Totong2, Brgy. Felisa, Bacolod City, Negros Occidental"
"ST. MARINA KIDNEY &amp; MEDICAL SPECIALTY PHARMACY, INC.","Door#3, J&E Bldg., B.S. Aquino Drive, Brgy. 5, Bacolod, Negros Occidental, Negros Island Region, 6100, Bacolod, Negros Occidental"
HAPPYMED PHARMACY,"POBLACION (PUBLIC MARKET), Banate, Iloilo"
SimonnE'S Pharmacy,"Millan Bldg., J.Y. Perez Avenue, 1, Kabankalan, Negros Occidental, Negros Island Region, 6111, Kabankalan, Negros Occidental"
RJM DRIVETHRU PHARMACY,"Brgy. Ilawod Poblacion, Zarraga, Iloilo"
R\' Clinic Pharmacy,"#619 Osmeña Avenue Linabuan Norte Kalibo Aklan, Kalibo, Aklan"
EZ-Meds,"G/F Unit 1 Solid Building San Sebastian and Lacson Sts. ,Purok Malalusan ,Barangay 32, Bacolod City, Negros Occidental"
ROSE PHARMACY,"Corner Roxas Avenue &amp;Toting Reyes St. Poblacion, Kalibo, Aklan"
JALANDO-ON PHARMACY,"San Miguel, Jordan, Guimaras, Western Visayas (Region VI), 5045, Jordan, Guimaras"
DJAM PHARMACY,"F. Maravilla St., Barangay III (Poblacion), Enrique B. Magalona, Negros Occidental, Negros Island Region, 6118, Enrique B. Magalona, Negros Occidental"
NEGROS GRACE PHARMACY,"Gatuslao St., Bacolod, Negros Occidental"
FARMACIA ALEXA,"Brgy. Poblacion,, Dumalag, Capiz, Western Visayas (Region VI), 5813, Dumalag, Capiz"
MERCURY DRUG,"Brgy. Tagbak, Jaro, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
MAICA MAY PHARMACY,"Cordova Street, Barangay 5, Kabankalan, Negros Occidental, Negros Island Region, 6111, Kabankalan, Negros Occidental"
FOURTH PHARMACY,"Stall # 05, OPM New Market Building, Brgy. Pob. South, Oton, Iloilo, Western Visayas (Region VI), 5020, Oton, Iloilo"
IDOCS PHARMACY,"POBLACION 2, Sagay City, Negros Occidental"
CJS PHARMACY,"Purok Caimito, Eco-Tourism Highway, Brgy. Bunga, Salvador Benedicto, Salvador Benedicto, Negros Occidental, Negros Island Region, 6100, Salvador Benedicto, Negros Occidental"
FLEJOLES PHARMACY,"Hijosa St.,, Cuartero, Capiz, Western Visayas (Region VI), 5811, Cuartero, Capiz"
JEMESSA DRUG STORE,"Don Pedro R. Yulo St., San Pedro, Binalbagan, Negros Occidental"
BM\'s Pharmacy,"Ground Floor, Deza Bldg., Brgy. Man-it, Passi City, Iloilo"
ELAN PHARMACY,"Balabag, Santa Barbara, Iloilo"
FARMACIA MARIA,"Magsaysay Street, Barangay Zone III, Cadiz City, Negros Occidental"
JHAISO PHARMACY,"POBLACION, Nueva Valencia, Guimaras, Western Visayas (Region VI), 5046, Nueva Valencia, Guimaras"
Botika St. Jude,"Barangay Poblacion, Tabuc, Maayon, Capiz"
FARMACIA ANFAL,"N3 PRINCE HYPERMART BUILDING, BURGOS STREET, BARANGAY 4-POBLACION, Hinigaran, Negros Occidental"
MERCURY DRUG,"Mabini St., Brgy. Osmena, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
KEA PHARMACY,"Public Market, SWA, President Roxas, Capiz, Western Visayas (Region VI), 5803, President Roxas, Capiz"
BOTIKA AMARIS,"Taram Bldg. Blk. 15 Lot 5 Purok Mabinuligon, Barangay Mansilingan, Bacolod, Negros Occidental"
PDL PHARMACY,"Lot 6 Blk. 1, Akishola Village, Villamonte, Bacolod, Negros Occidental, Negros Island Region, 6100, Bacolod, Negros Occidental"
HEALING STAR PHARMACY,"Brgy. Balabag, Pavia, Iloilo"
ValueMed Generics Pharmacy,"Lot 1 A & B Capitol Village, Barangay Granada, Bacolod City, Negros Occidental"
RM DRUGSTORE,"General Luna St., Poblacion,, Nabas, Aklan, Western Visayas (Region VI), 5607, Nabas, Aklan"
CANONIGO FARMACIA,"Purok Aboitiz, Brgy. San Jose, Sipalay, Negros Occidental, Negros Island Region, 6113, Sipalay, Negros Occidental"
JONZKIE PHARMACY,"Purok 1, Barangay Cabacungan, La Castellana, Negros Occidental, Negros Island Region, 6131, La Castellana, Negros Occidental"
J4L Drugstore,"S. H Diego St., Barangay West, Candoni, Negros Occidental"
GCare Drugstore,"Zone 4, Sambag Jaro, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
SOUTH STAR DRUG,"Robinson's Supermarket Roxas, Robinson's Place Roxas, Pueblo De-Panay, Brgy. Lawa-an, Roxas, Capiz, Western Visayas (Region VI), 5800, Roxas, Capiz"
ST. DIDACUS DRUGSTORE,"New Silay Lumber Bldg., D-2, Tres Fuentes, RIzal St., Brgy. Lantad, Silay, Negros Occidental"
DEL NORTE PHARMACY,"So. Sta. Cruz Brgy. Old Poblacion, Escalante City, Negros Occidental"
DRUGDAILY PHARMACY,"G03, OSNER SQUARE BUILDING, KAUSWAGAN JUNCTION ROAD, BARANGAY POBLACION 2, Sagay, Negros Occidental, Negros Island Region, 6122, Sagay, Negros Occidental"
FARMACIA NALDOZA,"NOBLE ST., UBOS ILAWOD (POBLACION), Miagao, Iloilo"
FARMACIA NI DOK,"Lot 44, Blk. 23, Togores Center, Capitan Sabi., Brgy. Zone 12-A,, Talisay City, Negros Occidental"
G.P. Pharmacy,"Rizal St., Poblacion, San Dionisio, San Dionisio, Iloilo"
SOUTH STAR DRUG,"Robinsons Supermarket Robinsons Place Pavia Zone 02, Barangay Ungka II, Pavia, Iloilo"
SH &amp; S ENTERPRISES,"MT. SINAI ST. MOUNTAIN VIEW SUBD.,, BRGY. MANDALAGAN, BACOLOD CITY, Bacolod, Negros Occidental, Negros Island Region, 6100, Bacolod, Negros Occidental"
CONFLUENCE HEALTH AND WELLNESS PRODUCTS,"JC Zulueta St., Brgy. Pob South, Oton, Iloilo"
THE GENERICS PHARMACY,"Barangay 9, Poblacion, Tigbauan, Iloilo, Western Visayas (Region VI), 5021, Tigbauan, Iloilo"
Kymche Pharmacy,"Badiangan Public Market, Brgy. Poblacion, Badiangan, Iloilo, Western Visayas (Region VI), 5033, Badiangan, Iloilo"
SANDROVAN DRUGSTORE,"Brgy. Bacuyangan, Zone 1, Hinoba-An (ASIA, Negros Occidental"
Prestine Pacific Food Management Corporation,"Villareal Highway, Brgy. Poblacion Tabuc Mambusao Capiz, Mambusao, Capiz"
REESE PHARMACY,"Poblacion Tabuc, Mambusao, Capiz, Western Visayas (Region VI), 5807, Mambusao, Capiz"
ZASPA PHARMACY,"Roxas St., Poblacion, Libacao, Aklan"
The Generics Pharmacy,"Roosevelt St., Brgy. Zone I (Pob.), Santa Barbara, Iloilo"
LOIZ PHARMACY,"Zone 4, Brgy. Jibao-an, Pavia, Iloilo, Western Visayas (Region VI), 5001, Pavia, Iloilo"
GRANNY'S PHARMACY,"STALL#33, TANGALAN PUBLIC MARKET, Tangalan, Aklan"
Ibabao Drug Drugstore,"Barangay Poblacion, Malinao Aklan, Malinao, Aklan"
Malones Pharmacy,"Zone 5, San Jose, San Miguel, Iloilo, Western Visayas (Region VI), 5025, San Miguel, Iloilo"
RX QUEEN PHARMACY,"Corner Arroyo-Montinola Sts., Brgy. Zone 5,, Santa Barbara, Iloilo, Western Visayas (Region VI), 5002, Santa Barbara, Iloilo"
Mama Care Pharmacy,"Muya Bldg., New Poblacion, Buenavista, Guimaras"
THE GENERICS PHARMACY,"SPS Joseph & Anabel Solis Bldg., San Sebastian St., Brgy. Poblacion, Jamindan, Capiz, Western Visayas (Region VI), 5808, Jamindan, Capiz"
REBB\'S PHARMACY,"Block 5 New Public Market, Rizal Street, Brgy. Zone II, Murcia, Negros Occidental, Negros Island Region, 6129, Murcia, Negros Occidental"
E.M.S. GOOD-WILL PHARMACY,"G. CORDOVA ST., BRGY. 2, Kabankalan City, Negros Occidental"
THE GENERICS PHARMACY,"Door # 11, Arroyo St., Brgy. San Nicolas, Lapaz, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
SAN GABRIEL PHARMACY,"Mabini St., Brgy. Zone 6,, Talisay City, Negros Occidental"
BSN DRUGSTORE,"Cor. Locsin-V. Gustilo Sts., Brgy. IV, San Carlos, Negros Occidental, Negros Island Region, 6127, San Carlos, Negros Occidental"
FAMILYHEALTH &amp; BEAUTY CORP.,"R.J. PE Commercial Bldg., along Gov. Villavert St., cor. Salazar St., Barangay 5, San Jose, Antique, Western Visayas (Region VI), 5700, San Jose, Antique"
THE GENERICS PHARMACY,"Alvarez Street, Brgy.  Zone 7, Pulupandan, Negros Occidental, Negros Island Region, 6102, Pulupandan, Negros Occidental"
I AM PHARMACY,"Brgy. Hanglid, President Roxas, Capiz, Western Visayas (Region VI), 5803, President Roxas, Capiz"
BOTIKA GENERICS,"Oñate St., Barangay Oñate De Leon, Mandurriao, Iloilo City, Iloilo"
Antivo Pharmacy,"St. Martin Subd., Brgy XXI, Victorias City, Negros Occidental"
Pharmacy Love\'s,"Purok 2 brgy bagacay, San Dionisio, Iloilo"
VING\'S DRUG STORE,"Blk 12 (South side), Talisay Public Market, Talisay City, Negros Occidental"
NEW TANINGCO DRUGSTORE,"DR. GONZALES STREET POBLACION KALIBO AKLAN, Kalibo, Aklan"
POTOTAN FARMERS- MULTI- PURPOSE COOP DRUGSTORE,"Cor. Ladrido-T. Magbanua St., Pototan, Iloilo"
ILOILO GRACE PHARMACY,"Mades Arcade, Quezon St., Brgy. Quezon, District of Arevalo, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
Crossroad Pharmacy,"Brgy. District III(Pob.), Sibalom, Antique"
ZJAVE PHARMACY,"Banate Public Market, Brgy. Poblacion, Banate, Iloilo"
THE GENERICS PHARMACY,"Salvacion Street, Poblacion Ilawod, Passi, Iloilo"
FAMILYHEALTH &amp; BEAUTY CORP.,"UGF SM City Iloilo, Benigno Aquino Avenue, Brgy. Bolilao, Mandurriao District, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
Health Aid Pharmacy,"Purok IV Gonzaga St., Pavia, Iloilo"
NEGROS GRACE PHARMACY,"Socorro Real Estate Bldg., Brgy. 12, Bacolod, Negros Occidental"
FAMILYHEALTH &amp; BEAUTY CORP.,"Ground Flr. St. Paul's Hospital SPICE Bldg., Gen. Luna St., Danao, Iloilo City, Iloilo"
THE GENERICS PHARMACY,"BJ Commercial Bldg, Poblacion Ilaya, Panay, Capiz, Western Visayas (Region VI), 5801, Panay, Capiz"
MOXSY PHARMACY,"Barangay Lawigan, San Joaquin, Iloilo"
THE GENERICS PHARMACY,"Mahogany Bldg., Blk 11 &amp; 12, Magsaysay Ave., Brgy. Singcang-Airport, Bacolod, Negros Occidental"
MEDINA DRUG STORE,"Agora Public Market, Valois St., Brgy. II, La Carlota, Negros Occidental, Negros Island Region, 6130, La Carlota, Negros Occidental"
KC PHARMACY,"Stall # 19 Janiuay Public Market, Brgy. Aquino Nobleza East (Pob.), Janiuay, Iloilo"
U-MED DRUGSTORE,"PCPM-Annex, Passi City, Iloilo"
Pharmetro Drug,"Public Market, Barotac Nuevo, Iloilo"
THE GENERICS PHARMACY,"R.C. LAGTAPON ST., BRGY IV, Hinigaran, Negros Occidental"
TRIPLE K DRUGSTORE,"Robles Space Rental, Alijis Road, Singcang Airport, Bacolod City, Negros Occidental"
FARMACIA NEO,"185-A Barangay Bonifacio-Tanza, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
Saverx Drugstore,"Cartagena St, Barotac Nuevo, Iloilo"
HUALDE PHARMACY,"Zone 3, Cabatuan, Iloilo"
CT &amp; M PHARMACOPOEIA MARKETING,"GAT Bldg.,P. Tomaro Road, Araneta St., Sum-ag, Bacolod, Negros Occidental, Negros Island Region, 6100, Bacolod, Negros Occidental"
FAMILYHEALTH &amp; BEAUTY CORP.,"GF SM Hypermarket Handumanan Bacolod, NEDF, Zone 4, Brgy. Handumanan, Bacolod, Negros Occidental, Negros Island Region, 6203, Bacolod, Negros Occidental"
Farmacia Batallon,"Block 8 Bldg. D, Kenon St. Brgy. 7 Poblacion Isabela Public Market, Isabela, Negros Occidental"
BOTICA PETER,"Centro Poblacion, Culasi, Antique, Western Visayas (Region VI), 5708, Culasi, Antique"
ROSE PHARMACY,"160 E. Lopez St., Barangay Javellana, Jaro, Iloilo City, Iloilo"
TUNER'S DRUGSTORE,"141 SIMON LEDESMA ST., BRGY. MA. CRISTINA, JARO, Iloilo City, Iloilo"
MEDSCRIPTS PHARMACY,"Commonwealth Drive (Paho), Brgy. Poblacion Ilawod, Passi, Iloilo, Western Visayas (Region VI), 5037, Passi, Iloilo"
Josmef Pharma Inc.,"Javellana E. Lopez St., Iloilo City, Iloilo"
The Generics Pharmacy,"Saravia Commercial Building, I-Poblacion, Barangay 1 (Poblacion), Enrique B. Magalona, Negros Occidental"
JMB POLYCLINIC AND PHARMACY,"San Miguel, Jordan, Guimaras, Western Visayas (Region VI), 5045, Jordan, Guimaras"
Medcure Pharmacy,"Lot 9 Block 29, Corner Libertad Extension & Circumferential Road, Brgy. Taculing, Bacolod City, Negros Occidental"
Silverlane Medical Coporation,"Zone IV, Brgy. Hibao-an Norte, Mandurriao, Iloilo City, Iloilo"
ILOILO GRACE PHARMACY,"Maryville Bldg., Delgado St., Brgy. Edganzon, District of City Proper, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
SAN VICENTE DRUGSTORE,"Brgy. Balintawak, Escalante City, Negros Occidental"
LORIEGA DRUGSTORE III,"Poblacion,, Culasi, Antique, Western Visayas (Region VI), 5708, Culasi, Antique"
THE GENERICS PHARMACY,"54 Osmeña Ave., Brgy. II, Victorias, Negros Occidental, Negros Island Region, 6119, Victorias, Negros Occidental"
KEN'S PHARMACY,"Barangay Culasi, Ajuy, Iloilo, Western Visayas (Region VI), 5012, Ajuy, Iloilo"
STO. NIÃ‘O DE AREVALO DRUGSTORE,"19 Bonifacio St., Arevalo, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
GEN'S DRUG STATION,"Stall #125 & 126 Public Market, Pontevedra, Capiz, Western Visayas (Region VI), 5802, Pontevedra, Capiz"
JM PHARMACY,"CONCORDIA, Nueva Valencia, Guimaras"
FASOMINGO PHARMACY,"QUEZON ST. BRGY. MAT-Y (POB), Miagao, Iloilo"
Gaudite Pharmacy,"Highway to Mabinay, Brgy. 1, Kabankalan City, Negros Occidental"
ERIN'S FAMILY PHARMACY,"Quezon Street, Iloilo City, Iloilo"
ST. BARAQUIEL PHARMACY,"Lot No. 2 (OLD ROAD) Cadastre, Barangay Jibolo, Janiuay, Iloilo"
BB. LIFEMED PHARMACY,"Gamboa Building, Locarno St., Helvetia Heights, Circumferential Road, Brgy. Villamonte, Bacolod City, Negros Occidental"
STO. NIÃ‘O DE AREVALO DRUGSTORE,"19 Bonifacio St., Arevalo, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
LADY PHARMACY,"Aldeguer St.,, Iloilo City, Iloilo, Western Visayas (Region VI), 5000, Iloilo City, Iloilo"
GRACIOUS DRUG MART,"VSG Bldg., Stall #03, Jovita Fuentes St.,, Brgy. Inzo Arnaldo Village (Cadimahan),, Roxas, Capiz, Western Visayas (Region VI), 5800, Roxas, Capiz"
FARMACIA THADDEUS,"Sto. Domingo St., San Joaquin, Iloilo, Western Visayas (Region VI), 5024, San Joaquin, Iloilo"
FARMACIA NI DOK,"Ilawod, Pontevedra, Capiz"
MDSB Drugmart,"DOOR NO. 1 RDV BUILDING DINSAY-ARIMAS STREET BRGY. ZONE IV, Murcia, Negros Occidental"
The Generics Pharmacy,"Building 1080, Poblacion, President Roxas,, President Roxas, Capiz"
I S MEDICINE CORNER,"Mc Arthur Drive, Tabuc Suba, Jaro, Iloilo City, Iloilo"
