REGION,CHD,PROVINCE,CITY,COMPLETE ADDRESS,OWNERSHIP,NAME OF CLINIC,NO. OF STATION,HEAD OF THE FACILITY,CONTACT NUMBER,VALIDITY
REGION 3,CENTRAL LUZON,PAMPANGA,"City of San Fernando, Pampanga","Block 3 Lot 6, Dolores Heights City of San Fernando, Pampanga",PVT,SAN FERNANDO HEMODIALYSIS CENTER CORP.,12,Dra. Zarah Maria Tan,9162149432,"Dec. 12, 2020 to Dec, 31, 2022"
REGION 3,CENTRAL LUZON,PAMPANGA,"City of San Fernando, Pampanga","G/F, CLK Bldg. Dolores, McArthur Highway City of San Fernando, Pampanga",PVT,"ST. THERESA DIALYSIS CENTER, INC.",24,Dr. Jan Melvin M. Zapanta,(045) 961 6677,"Jan.1, 2022 to Dec.31, 2024"
REGION 3,CENTRAL LUZON,PAMPANGA,"City of San Fernando, Pampanga","Lazatin Blvd. Villa Victoria Subdivision, City of San Fernando, Pampanga",PVT,TOLEDANO MEDICAL CLINIC AND DIALYSIS CENTER,14,Dr. Renne G. TOledano,(045) 961 2162,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 3,CENTRAL LUZON,TARLAC,,"Unit 3 to 8, Ground Floor, Queen's Central, McArthur Highwa y, Brgy. Sto. Domingo I, Capas, Tarlac",PVT,FRESENIUS KIDNEY CARE,12,Dr. Janice Q. Rivera,(045) 925-4816,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 3,CENTRAL LUZON,TARLAC,,"Mac Arthur Highway Sto. Domingo II Capas, Tarlac",PVT,"GC HEMODYNAMIX, INC.",15,Dr. Janice Rivera,0917 -107-1680,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 3,CENTRAL LUZON,Tarlac,,"L. Cortez corner Plaridel Sts., Brgy. San Nicolas Poblacion, Concepcion Tarlac",PVT,CONCEPCION HEMODIALYSIS CENTER INC,28,Dr. Monina Cleofas V. Lucas,0912-101-4939 / 0946-366-4977,"Jan.13 2022-Dec. 31, 2024"
REGION 3,CENTRAL LUZON,TARLAC,,"Lot 17, Block 2, Green Village Conception, Tarlac",PVT,ST. AGUSTINE DIALYSIS CENTER INC.,14,"Flanz Roven D. Calvelo, MD/Dr. Monina Cleofas V. Lucas",0907 206 5081,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,TARLAC,,"Purok Papaya, Abagon, Gerona, Tarlac",PVT,GERONA DIALYSIS OF THE SACRED HEART CORPORATION ,6,Dr. Cristina Pascual,9175683044,"Aug. 18, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,TARLAC,,"05 Baltazar Subd., Poblacion Norte, Paniqui, Tarlac",PVT,RAYOS-VALENTIN DIALYSIS CENTER,10,Dr. Jeanette Rayos,0915 7830863,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 3,CENTRAL LUZON,TARLAC,,"Mc Arthur Highway, Brgy. Carino, Paniqui, Tarlac",PVT,PANIQUI DIALYSIS CENTER ,17,Dr. Rica Mari Katherina De Borja,9189648265,"June 10, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,TARLAC,Tarlac City,"M.H. del Pilar St. cor, Zafiro St., Brgy.San Nicolas, Tarlac City",PVT,JMC DIALYSIS CENTER,8,Dr. Rika Marikatherina K. De Borja,045-9825501,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,TARLAC,Tarlac City,"JRT Bldg., M.H. Del Pilar cor. Hilario St., Ligtasan, Tarlac City, Tarlac",PVT,"MSR HEALTHCARE, INC.",12,Dr. Lloyd Everett R. Lim,09065444924/09325749028/3092533 /,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,TARLAC,Tarlac City,"G/F Ramos General Hospital, P. Hilario St., Ligtasan, Tarlac City",PVT,MULTISPECIALTY VENTURE OF TARLAC CORPORATION,12,Dr. Monna Cleofas V. Lucas,493-2565 loc. 124/125,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 3,CENTRAL LUZON,NUEVA ECIJA,,"L. De Ocampo Street, Saranay District, Guimba, Nueva Ecija",PVT,BIOREGEN HEMO CENTER INC.,8,Dr. Manuel L. Galapon III,09175591986/09064842243 /,"Jan. 4, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,NUEVA ECIJA,,"Km 106 Maharlika Highway, Gomez, Sta. Rosa, Nueva Ecija",PVT,NORTH EAST DIALYSIS CENTER CORP.,18,Dr. Roland E. Valdez,044-3335579/09065038888,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,NUEVA ECIJA,,"Market Road, Sampaloc, Talavera, Nueva Ecija",PVT,FIRST RENAL DIALYSIS CENTER CORP. ,12,Dr. Jeffrey P. Mora,9165488886,"Feb. 17, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,NUEVA ECIJA,,"Purok 7 San Isidro, Zaragoza, Nueva Ecija",PVT,"NUEVA ECIJA RENAL CENTER - ZARAGOZA, INC.",24,Jovi Flauta,0917-704-0085 / 0917-105-1726,"Jan. 3, 2022 to Dec. 31, 2024"
REGION 3,CENTRAL LUZON,NUEVA ECIJA,Cabanatuan City,"ELJ, Maharlika Highway, Brgy.. Daan Sarili, Cabanatuan City Nueva Ecija",PVT,MSR HEALTH CARE INC.,27,Dr. Antoinette Limjoco,0906-544-4924,"Jan.1, 2022 to Dec.31, 2024"
REGION 3,CENTRAL LUZON,NUEVA ECIJA,Cabanatuan City,"WLC Bldg., Circumferential Rd., Brgy. San Juan Accfa, Cabanatuan City",PVT,"SAINT MARY KIDNEY CARE, INC.",10,Dr. Darwin C. Darjuan,0963-442-8123,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 3,CENTRAL LUZON,NUEVA ECIJA,Gapan City,"City Hall Compound, Brgy. Bayanihan, Gapan City, Nueva Ecija",PVT,NORTH EAST DIALYSIS CENTER CORP.,18,Dr. Jeffrey P. Mora,9953888853,"Aug. 10. 2020 to Dec. 31, 2022"
REGION 3,CENTRAL LUZON,NUEVA ECIJA,"Muñoz City, Nueva Ecija","Purok Cabiawan, Brgy. Rizal, Science City of Muñoz, Nueva Ecija",PVT,"NUEVA ECIJA RENAL CENTER-SAN JOSE, INC. ",10,Dr. Rachelle Coloma-Daus,,"June 14, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,NUEVA ECIJA,Palayan City,"Aurora Road, Singalat, Palayan City Nueva Ecija",PVT,PALAYAN CITY DIALYSIS CENTER ,7,DR. Yumi Czarina Ong Cruda,0917 8256025,"Oct. 28, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,NUEVA ECIJA,San Jose City,"3121 RMZ Building, Ramar Village, Malasin San Jose City, Nueva Ecija",PVT,NUEVA ECIJA RENAL CENTER - SAN JOSE INC.,30,Dr. Rachelle Coloma-Daus,0917-704-0085 / 0917-105-1726,"Jan, 3, 2022 to Dec. 31, 2024"
REGION 3,CENTRAL LUZON,ZAMBALES,,"Sta. Lucia Street South Poblacion Masinloc, Zambales",PVT,SOUTH POBLACION DIALYSIS CENTER ,6,Dr. Shalee M Santos,0929 2560246,"Jan. 4, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,ZAMBALES,,"6564 National Highway, Palanginan, Iba, Zambales",PVT,"ZAMBALES DIALYSIS AND KIDNEY CENTER, INC.",8,Dr. Olivia Roque Idio,047-6024640,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,ZAMBALES,,"Brgy. Patrocinio, San Narciso, Zambales",PVT,AVITUS KIDNEY CARE AND DIALYSIS CENTER CORPORATION,12,Dr. Maria Regina Gregorio,9175345111,"Jan.1, 2022-Dec.31, 2024"
REGION 3,CENTRAL LUZON,ZAMBALES,,"National Highway, Biay, Sta. Cruz, Zambales",PVT,AVITUS KIDNEY CARE AND DIALYSIS CENTER CORP.,14,Dr. Shari Ann C. Atanacio,9175345111,"Dec. 4, 2020 to Dec. 31, 2022"
REGION 3,CENTRAL LUZON,ZAMBALES,Olongapo City,"39 Lower Kalaklan, RH5 National Highway, Olongapo City, Zambales",PVT,AVITUS KIDNEY CARE AND DIALYSIS CENTER CORPORATION,20,Dr. Maria Regina Gergorio,9175065756,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 3,CENTRAL LUZON,ZAMBALES,Olongapo City,"1759 Rizal Avenue, West Bajac-Bajac, Olongapo City, Zambales",PVT,AVITUS KIDNEY CARE AND DIALYSIS CENTER CORPORATION,30,Dr. Arnel S. Chua,09176537821/047-6109351,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 3,CENTRAL LUZON,ZAMBALES,Olongapo City,"#65 JM Bldg., 18th St., East Bajac-Bajac, Olongapo City, Zambales",PVT,"B. BRAUN AVITUM PHILIPPINES, INC.",15,Dr. Beverly C. Aguila,0917-5152631,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 3,CENTRAL LUZON,ZAMBALES,Olongapo City,"2 Afable St., cor. 18th St., East Bajac Bajac, Olongapo City, Zambales",PVT,MED LINE DIALYSIS CENTER,7,"Dr. Ma. Lorelei Lucio-Tong. FPSN, FPCP",09610811400/09273226853,"Dec. 1, 2020 to Dec. 31, 2022"
REGION 3,CENTRAL LUZON,ZAMBALES,Olongapo City,"No. 88 Gordon Ave., New Asinan, Olongapo City, Zambales",PVT,"QUALITY RENAL CARE, INC.",12,Dr. Edision SA Gurerreo,0229096/093991786,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 4A,CALABARZON,BATANGAS,,"Lumbang Calzada, Calaca, Batangas",PVT,ST. RAFAEL DIALYSIS CENTER,12,Dr. Maria Caridad R. Pasno,0977-8262000,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 4A,CALABARZON,BATANGAS,,"Unit 1GF & Unit 1 2nd Floor, GGDC Bldg. Poblacion, Ibaan, Batangas",PVT,AIZ HEMODIALYSIS CENTER INC.,12,Dr. Arginino Romeo Dorado,0929-625544,"Jan. 12, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,BATANGAS,,"268 Santiago St., Poblacion, Ibaan, Batangas",PVT,"MARY MEDIATRIX MEDICAL CENTER, INC",11,Dr. Robert M. Magsino - Pres.,0917-1579537,"July 15, 2020 to Dec. 31, 2022"
REGION 4A,CALABARZON,BATANGAS,,"Metro Rei Business Park, Brgy. Palindan, Ibaan, Batangas",PVT,SOUTHERN LUZON DIALYSIS CARE CENTER,8,Dr. Joengeles Montalbo-Genebago,0915-3895528,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,BATANGAS,,"Xentro Mall Batangas, Calaca-Lemery Highway, Lemery, Batangas",PVT,"GLOBAL RELIANCE RENALCARE, INC.",12,Dr. Aljun M. Malambut,0917-5049205,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 4A,CALABARZON,BATANGAS,,"G/F APC Bldg., Jose P. Laurel Highway, Brgy. Poblacion, Malvar, Batangas",PVT,"AGE BRIDGE COR SUPPLY AND MEDICAL SERVICES, INC.",11,Dr. Rica Carpio,043-4063371,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,BATANGAS,,"262 J.P. Laurel St. corner Roxas St., Nasugbu, Batangas",PVT,UNIVERSE KIDNEY CARE CENTER,12,Dr. Bienvenido Manlutac,0906-0140471,"Sept. 14, 2020 to Dec. 31, 2022"
REGION 4A,CALABARZON,BATANGAS,,"G/F Medical Experts Building, Rosario Road, Brgy. San Roque, Rosario, Batangas",PVT,FRESENIUS KIDNEY CARE,14,Dr. Irene Castillo-Paler,043-7816509,"Jan.1, 2022 to Dec.31, 2024"
REGION 4A,CALABARZON,BATANGAS,,"2+A19nd Floor Sto. Rosario Hospital, V. Escano St. cor.G. Recto St., Poblacion C, Rosario, Batangas",PVT,"HEMOTEK RENAL CENTER, INC.",10,Dr. Kathleen Joy L. Flores,5361091,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 4A,CALABARZON,BATANGAS,,"Poblacion D, Rosario, Batangas",PVT,HOLISTIC DIALYSIS CENTER,20,Dr. Michelle Otayco,09155926004/043-3211371 /,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,BATANGAS,,"44 Brgy. Calicanto, San Juan, Batangas",PVT,"SAN JUAN NEPOMUCENO DIALYSIS CENTER, INC,",10,Dr. Joengelee Montalbo-Genebago,043-5758890 / 0917-5747982,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 4A,CALABARZON,BATANGAS,,"2nd Floor SMP Square Building, San Rafael, Maharlika Highway, Sto. Tomas, Batangas",PVT,FRESENIUS KIDNEY CARE,15,"Dr. Edgardo Faustino, FPCP, FACP, FPSN",02-8919575 loc. 2643,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,BATANGAS,Batangas City,"G/F MB Bldg., Gulod Labac, Batangas City, Batangas",PVT,BCDMS DIALYSIS CENTER,11,Dr. Aprille Kirsten Ilustre,043-7276097,"Sept. 25, 2020 to Dec. 31, 2022"
REGION 4A,CALABARZON,BATANGAS,Batangas City,"2/F Batangas Healthcare Specialists Medical Center, Port Diversion Road, Brgy. Alangilan, Batangas City, Batangas",PVT,FRESENIUS KIDNEY CARE,12,Dr. Divina Cruz Ribas,7275139 / 0917-8066120 / 0917-8648055,"Jan.1, 2022 to Dec.31, 2024"
REGION 4A,CALABARZON,BATANGAS,Batangas City,"Kumintang Ibaba, Batangas City, Batangas",PVT,MEDWAY DIALYSIS CENTER,10,Dr. Nickson E. Austria,0917-8070832,"Mar. 13, 2020 to Dec. 31, 2022"
REGION 4A,CALABARZON,BATANGAS,Batangas City,"Urbano Mojares Jr. Bldg., National Highway, Alangilan, Batangas City",PVT,"NEPHROLOGY CENTER OF BATANGAS CITY, INC.",12,Dr. Catherine B. Bugayong,043-9845011,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,BATANGAS,Batangas City,"3rd Floor Nuciti Central Mall, P. Burgos St., Batangas City, Batangas",PVT,"YOUNG HEALTH ENTERPRENEURS, INC. ",14,Dr. Aprille Kirsten Ilustre,0977-8100191,"Jan. 4, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,BATANGAS,Lipa City,"RCD Plaza, by-Pass Road, Balintawak, Lipa City, Batangas",PVT,"ESSENTIAL CARE DIALYSIS CENTER, INC.",11,Dr. Nickson E. Austria,0915-5926004,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 4A,CALABARZON,BATANGAS,Lipa City,"Jiao Medical Bldg., JP Laurel Highway, Brgy. Sico, Lipa City, Batangas",PVT,FIDELIS DIALYSIS CARE,5,Dr. Joengelee Montalbo-Genebago,043-9819983/7068089/09212777133/09165897900/09271336203,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,BATANGAS,Lipa City,"Romleon Bldg., Ayala Highway, Brgy. Balintawak, Lipa City, Batangas",PVT,"HEALTH DELIVERY SYSTEM, INC.",11,Dr. Jose P. Ty,043-4049226,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,BATANGAS,Lipa City,"Phoenix Station, JM Katigbak St., Mataas na Lupa, Lipa City, Batangas",PVT,LIPA SPECIALIST GROUP,16,Dr. Georgette Lee,0977-8100191,"Sept. 14, 2020 to Dec. 31, 2022"
REGION 4A,CALABARZON,BATANGAS,Tanauan City,"Sicto Castillo St., Brgy. 2, Tanauan City, Batangas",PVT,"ROTARY CLUB OF TANAUAN BATANGAS, INC.",8,"Dr, Norman C. Constantino",043-7786172 / 0920-9616182,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 4A,CALABARZON,CAVITE,,"Unit 8, 88 Building, Governor's Drive, Brgy. Maduya, Carmona, Cavite",PVT,"CARMONA DIALYSIS SYSTEM, INC.",14,Dr. Rene V. Baltazar,046-9722917/046-4332939 / 0975-2531783/0929-8478250,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 4A,CALABARZON,CAVITE,,"G/F Angeles Bldg., Brgy. J. Lumbreras, Congressional Road, General Mariano Alvarez, Cavite",PVT,MEDLINE DIALYSIS CENTER,5,Dr. Marilyn Vinluan-Olveda,046-4431319,"Oct. 30, 2020 to Dec. 31, 2022"
REGION 4A,CALABARZON,CAVITE,,"G/F Units 10 & 11 Robertsons Plaza, Brgy. Tabon, Centennial Road, Kawit, Cavite",PVT,"GLOBAL RELIANCE RENAL CARE, INC.",13,Dr. Sheena Ann Manalili-Diloy,0917-5049205,"Nov. 19, 2020 to Dec. 31, 2022"
REGION 4A,CALABARZON,CAVITE,,"JP Rizal St., Brgy. Asis III, Mendez, Cavite",PVT,"NEPHROLOGY CENTER OF CAVITE CT-R HEMODIALYSIS, INC.",9,Dr. Rosella M. Noche,046-8613013/8613014,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,CAVITE,,"#39 Governors Drive, Ibayo Silangan, Naic, Cavite",PVT,CURIS NAIC DIALYSIS CLINIC,12,Dr. Maria Divina Nazareno,0905-7944561,"Dec. 11, 2020 to Dec. 31, 2022"
REGION 4A,CALABARZON,CAVITE,,"039 Governor's Drive, Ibayo Silangan, Naic, Cavite",PVT,NAIC DIALYSIS CENTER INC. ,15,"Dr. Maria Theresa P. Santiago, FPSN",046-4093627 / 0936-9158496 / 0997-2507677,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 4A,CALABARZON,CAVITE,,"Estrella Hospital, Km. 43, Gen. Emilio Aguinaloo Highway, Brgy. San Miguel, Silang, Cavite",PVT,CAVITE DIALYSIS CENTER CORPORATION,8,Dr. Rogelio Aquino,046-4870614 / 0923-1997819 / 0927-4793558,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 4A,CALABARZON,CAVITE,,"Premier Plaza, 7180 E. Aguinaldo Highway, Brgy. Lucsuhin, Silang, Cavite",PVT,"GLOBAL RELIANCE RENALCARE, INC.",15,Dr. Marie Fe A. Vergara-Lim Dy,0917-8126895,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,CAVITE,,"J. Rizal St., Brgy. Sabutan, Silang, Cavite",PVT,VELAZCO HOSPITAL DIALYSIS UNIT CO.,9,Dr. Agnes Baston,046-4131492 / 0916-3980065,"Sept. 14, 2020 to Dec. 31, 2022"
REGION 4A,CALABARZON,CAVITE,,"CDC Bldg., A. Soriano Highway, Poblacion IV, Tanza, Cavite",PVT,"CAVITE DIAGNOSTIC STROKE CARE CENTER, INC.",8,Dr. Luis Ricardo D. Sahilan,046-4352734/4352660 / 0923-8515315,"Jan.1, 2022 to Dec.31, 2024"
REGION 4A,CALABARZON,Cavite,Bacoor City,"Groud Floor, Unit 3, FYNN Commercial Bldg., Panapaan 4, Bacoor City, Cavite",PVT,"HEMOTEK RENAL CENTER, INC.",20,Dr. Dabbie Que Wonghin,046-4319925,"Jan.1, 2022 to Dec.31, 2024"
REGION 4A,CALABARZON,Cavite,Bacoor City,"2nd Floor, Bacoor Doctors Medical Center, Molino Blvd., Brgy. Bayanan, Bacoor City, Cavite",PVT,"HEMOTEK RENAL CENTER, INC.",4,Dr. Lilibeth Ibarrientos,046-7955381/0977-2953303,"Jan.1, 2022 to Dec.31, 2024"
REGION 4A,CALABARZON,CAVITE,Bacoor City,"JMN Bldg., Tirona Highway, Habay I, Bacoor City, Cavite",PVT,"NEPHROLOGY CENTER OF BACOOR CAVITE, INC.",11,Dr. Dennis P. Fuentes,046-5308189 / 5309819,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 4A,CALABARZON,CAVITE,Bacoor City,"Bldg. A, Unit 3, Paseo de Bacoor, Brgy. Molino III, Bacoor City, Cavite",PVT,WELLSERVE DIALYSIS CENTER,13,"Dr. Louie Anne Marie S. Salvador, FPCP, DPSN",046-4505491 / 0908-8841383,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 4A,CALABARZON,CAVITE,Dasmariñas City,"Unitop Mall Governors Drive cor. Paliparan-Silang Road, Paliparan I, Dasmariñas City, Cavite",PVT,DASMARIÑAS RENAL CARE CENTER INC.,10,Dr. Jonathan Moleta,(046) 4306948/0917-8902109/0995-2788450,"Oct. 29, 2020 to Dec. 31, 2022"
REGION 4A,CALABARZON,CAVITE,Dasmariñas City,"G/F Units 3,4,5 Leveriza Bldg., E. Aguinaldo Highway, Dasmariñas City, Cavite",PVT,"GLOBAL RELIANCE RENALCARE, INC.",12,Dr. Jenny R. Bicol,046-8437989,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,CAVITE,Dasmariñas City,"RJVA Bldg., Sampaloc 1, Aguinaldo Highway, Palapala, Dasmariñas City, Cavite",PVT,"HEMOTEK RENAL CENTER, INC.",15,Dr. Georgette E. Lee,046-4893625,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,Cavite,Dasmariñas City,"895 Mayumi Bldg., Jose Abad Santos Ave., Salitran 1, Dasmariñas City, Cavite",PVT,KIDNEYCARE DIALYSIS CENTER,13,Dr. Eunice Bernadette Go-Lopez,046-5405997 / 0917-1193166,"Jan.1, 2022 to Dec.31, 2024"
REGION 4A,CALABARZON,Cavite,Dasmariñas City,"Molino-Paliparan Road, Salawag, Dasmariñas City, Cavite",PVT,K-MATTERS TAGUIG DIALYSIS AND DIAGNOSTIC CENTER CO.,12,Dr. Arlene Afaga,046-6860450/0926-0382171/0921-5779166,"Jan.1, 2022 to Dec.31, 2024"
REGION 4A,CALABARZON,CAVITE,Dasmariñas City,"Zone 1A, Agustina Village, Zone 1 (POB), Dasmariñas City, Cavite",PVT,"NEPHROLOGY CENTER OF DASMARIÑAS CITY, INC.",15,Dr. Richard Thomas P. Lim,0930-7382240,"Oct. 8, 2020 to Dec. 31, 2022"
REGION 4A,CALABARZON,CAVITE,Gen. Trias City,"Epza-Bacao Road, Gen. Trias City, Cavite",PVT,KOREA-PHILIPPINES FRIENDSHIP OCCUPATIONAL HEALTH & DIALYSIS CLINIC,14,Dr. Juancho Ambata,046-4370818/0916-7393364,"April 16, 2020 to Dec. 31, 2022"
REGION 4A,CALABARZON,CAVITE,Gen. Trias City,"2nd Floor Robinsons Place, General Trias, EPZA, Soriano Highway, Diversion Road, Bacao, General Trias City, Cavite",PVT,NEPHROSOUTH INCORPORATED,15,Dr. Georgette Lee,9778100191,"Aug. 14, 2020 to Dec. 31, 2022"
REGION 4A,CALABARZON,CAVITE,Gen. Trias City,"A. Soriano Hi-way, Brgy. Tejero, General Trias, Cavite",PVT,ST. AUGUSTINE DIALYSIS INC. ,10,Dr. MA. MELYNDA J. FANI,09176293720/046-4306948 loc 106,"Sept. 1, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,CAVITE,Imus City,"9073 E. Aguinaldo Highway, Anabu II-B, Imus City, Cavite",PVT,"B. BRAUN AVINTUM PHILS., INC.",10,Dr. Rudi Joy T. Larano,02-5885698 / 0917-5152631,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 4A,CALABARZON,Cavite,Imus City,"Unit 205, Sun City Plaza Bldg., Aguinaldo Highway, Anabu I, Imus City, Cavite",PVT,"NEPHROLOGY CENTER OF CAVITE CITY DIALYSIS, INC.",15,Dr. Eloisa Mercado,046-4020255,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 4A,CALABARZON,CAVITE,Imus City,"Ground Floor, Citymall, Anabu, Gen. Emilio Aguinaldo, Imus City, Cavite",PVT,"RELIANCECARE, INC.",15,Dr. Margrette ruth I. Bernardo,6345714 / 0917-5097647,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 4A,CALABARZON,CAVITE,Tagaytay City,"3rd Floor, Plaza San Nicolas De Tolentino, Purok 157, General Aguinaldo, Brgy. San Jose, Tagaytay, City",PVT,"ROYAL CARE DIALYSIS CENTER, INC.",16,Dr. Rodolfo Aquino,8010995,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 4A,CALABARZON,CAVITE,Trece Martires City,"Lower Ground Floor, Unit 1,2,3 Puregold San Agustin, Governor's Drive, San Agustin, Trece Martires City, Cavite",PVT,"HSI HEMOCARE SYSTEM, INC.",14,Dr. Rene V. Baltazar,046-5704631,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,Cavite,Trece Martires City,"Governor's Drive, Brgy. San Agustin, Trece Martires City, Cavite",PVT,"MSR HEALTH CARE, INC.",12,Dr. Rosalyn Cabuco,5501489 / 0906-5444924,"Jan.1, 2022 to Dec.31, 2024"
REGION 4A,CALABARZON,LAGUNA,,"Lopez Jaena St., Brgy. Poblacion 1, Nagcarlan, Laguna",PVT,"UNITED DOCTORS OF LAGUNA [UDL] DIALYSIS CENTER, INC.",7,Kenneth C. Lim,049-5496801,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,Laguna,,"Temprosa Bldg., Brgy. Bagumbayan, Siniloan, Laguna",PVT,DIALYSIS CENTER OF SINILOAN LAGUNA CORP.,6,Dr. Marlene V. Iniego,0905-4480695,"Jan.1, 2022 to Dec.31, 2024"
REGION 4A,CALABARZON,LAGUNA,,"#18 AMNC Bldg., P. Guevarra Ave., Brgy. Pagsawitan, Sta. Cruz, Laguna",PVT,DCS DIALYSIS CENTER,8,Dr. Marlene Villanueva-Iniego,0917-8159830,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 4A,CALABARZON,LAGUNA,,"Mabini St., Brgy. Bukal, Sta. Cruz, Laguna",PVT,STA. CRUZ HEMODIALYSIS CENTER CORP.,17,Dr. Maria Rhowena Flores-Florendo,049-6233539 / 0915-7776700,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 4A,CALABARZON,LAGUNA,Binan City,"Unit A17-A, Ground Floor, south Woods Mall, Southwoods city, barangay San Francisco, Binan Laguna",PVT,"B.BRAUN AVITUM PHILIPPINES, INC. ",17,Dr. Arni Agawin Magdamo,9176536622/09178387177,"May 6, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,Laguna,Biñan City,"Sto. Domingo, Biñan City, Laguna",PVT,"GC HEMODYNAMIX, INC.",15,"Dr, Rolando N. Macalalag",0967-2486639,"Jan.1, 2022 to Dec.31, 2024"
REGION 4A,CALABARZON,LAGUNA,Binan City,"Rm. 303 A&C, Coral Center Bldg.,, Southwoods, Biñan, Laguna",PVT,ST. MICHAEL AND ST. RAPHAEL DIALYSIS CENTER CORP.,10,Dr. Josierina Y. Sarmiento,0917-8176668 / 049-5597103,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,LAGUNA,Binan City,"2nd Floor, Umbria Commercial Center, Brgy. San Antonio, City of Biñan, Laguna",PVT,"RNM DIALYSIS CENTER, INC. ",10,Dr. Cindy Angue,0927-6255544,"Aug. 31, 2021 to Dec. 31, 2023"
REGION 4A,CALABARZON,LAGUNA,Cabuyao City,"Ospital ng Cabuyao, Brgy. Tres, Cabuyao, Laguna",PVT,NEPHROMED ASIA MEDICAL GROUP INCORPORATED,10,Dr. Rogelio C. Aquino,0977-8100191,"Aug. 14, 2020 to Dec. 31, 2022"
REGION 4A,CALABARZON,LAGUNA,Calamba City,"175 National Highway, Paciano Rizal, Calamba, Laguna",PVT,"CPDC-BRIDGES DIALYSIS CENTER, INC.",7,Dr. Genaro Angcao,0917-8406089,"Jan. 1, 2020 to Dec. 31, 2022"
REGION 4A,CALABARZON,LAGUNA,Calamba City,"G/F Linville Bldg., Brgy. Real, Calamba, Laguna",PVT,"HEMOTEK RENAL CENTER, INC.",15,Dr. Genaro T. Angcao,5361091 / 0915-2722902,"Jan. 1, 2022 to Dec. 31, 2024"
