REGION,CHD,PROVINCE,CITY/ MUNICIPALITY,COMPLETE ADDRESS,OWNERSHIP,NAME OF FACILITY,SERVICES,CONTACT NO.,EMAIL ADDRESS,MEDICAL DIRECTOR,VALIDITY
REGION 7,CENTRAL VISAYAS,CEBU,Cebu City,"E. Miñosa St., Zion Center, Tigbao, Talamban, Cebu City, Cebu",PVT,"HEALTH AND LIFESTYLE TRANSFORMATION HUB (HEALTH), INC.","Colorectal, General Surgery, Ophthalmologic, Pediatric, Reproductive Health, Thoracic, Urologic",0932-3425809,health.33@gmail.com,Dr. Shawn Euclid Gandhi P. Espina,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 7,CENTRAL VISAYAS,CEBU,Cebu City,"G/F JRDC Bldg., Osmena Blvd., Capitol Site, Cebu City, Cebu",PVT,"REPRO OPTIMA CENTER FOR REPRODUCTIVE HEALTH, INC.",Reproductive Health,(32) 254-6965 / 2562433 fax,info@repro-optima.com,Dr. Ma. Victoria R. Tan,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 7,CENTRAL VISAYAS,CEBU,Mandaue City,"North Park, U.N. Ave. cor. Plaridel St., Alang-Alang, Mandaue City, Cebu",PVT,MAAYO MEDICAL CLINIC CORPORATION,"General Surgery, Ophthalmologic, Otorhinolaryngologic, Orthopedic, Plastic & Reconstructive, Reproductive Health, Urologic",032-8882662,QMN@maayomedical.com,Dr. Maria Carmina Joyce C. Alferez,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 7,CENTRAL VISAYAS,NEGROS ORIENTAL,Dumaguete City,"Beside LP Hypermart Square, Valencia Road, Bagacay, Dumaguete City, Negros Oriental",PVT,ACES EYE REFERRAL CLINICS,Ophthalmologic,035-4222237,licensecomplianceofficer@aceeye.com,Dr. Ronald Anthony R. Medalle,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 8,EASTERN VISAYAS,LEYTE,Tacloban City,"G/F WI Center, Fatima Village, Brgy. 77, Tacloban City",PVT,OUR LADY OF FATIMA EYE EAR NOSE THROAT CENTER,"Ophthalmologic, Otorhinolaryngologic",053-5231124/0276813738,,Dr. Amelia C. Reyes,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 8,EASTERN VISAYAS,SOUTHERN LEYTE,Sogod,"Brgy. San Miguel, Sogod, Southern Leyte",PVT,DR. JADOC ADULT AND CHILD EYE CENTER,Ophthalmologic,0995-9143104,doc_maruja88@yahoo.com,Dr. Catalino S. Jadoc,"Feb. 26, 2021 to Dec. 31, 2023"
REGION 9,ZAMBOANGA PENINSULA,ZAMBOANGA DEL SUR,Zamboanga City,"101 San Jose Road, Zamboanga City",PVT,CASES EYE SURGI CENTER,Ophthalmologic,(062)9916790,,Dr. Ma. Antonette Cases,"Jan. 1, 2023 to Dec. 31, 2025"
REGION 9,ZAMBOANGA PENINSULA,ZAMBOANGA DEL SUR,Zamboanga City,"78 T. Claudio St., Zamboanga City",PVT,CLINICA DE ZAMBOANGA,Ophthalmologic,(062)9901405,clinicadezamboanga@yahoo.com,Dr. Francis K. Sarau,"Jan. 1, 2023 to Dec. 31, 2025"
REGION 10,NORTHERN MINDANAO,MISAMIS OCCIDENTAL,Ozamis City,"Divine Mercy Bldg., Mamingcol Highway, Ozamis City, Misamis Occidental",PVT,DR. DITCHING EYE CENTER,Ophthalmologic,0906-3375684,,Dr. Jose Gonzalo M. Ditching,"Jan. 1, 2023 to Dec. 31, 2025"
REGION 10,NORTHERN MINDANAO,MISAMIS ORIENTAL,Cagayan de Oro City,"Madonna & Child Hospital Compound., J. Serina St., Carmen, Cagayan de Oro City, Misamis Oriental",PVT,REFRACTIVE LASER AND SURGICENTER OF MINDANAO,Ophthalmologic,088-8800283/09177267098,mendieye@gmail.com,Dr. Rustan A. Hautea,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 10,NORTHERN MINDANAO,MISAMIS ORIENTAL,Cagayan de Oro City,"Block 70, Lot 18, Phase I, Xavier Estates, Upper Balulang, Masterson's Ave., Cagayan de Oro City, Misamis Oriental",PVT,SKYLINE GASTROHEP ENDOSCOPY CENTER ,General Surgery,9177027756,skylinegastrohepEC@gmail.com,Dr. Maria Margaret L. Quiblat,"Dec. 16, 2021 to Dec. 31, 2023"
REGION 11,SOUTHERN MINDANAO,DAVAO DEL NORTE,Tagum City,"GCA Bldg., National Highway 54, Visayan Village, Tagum City, Davao del Norte",PVT,"TAGUM EYE SURGICENTER, INC.",Ophthalmologic,919991322/6565751/09199913522/09173016271,tagumeyesurgicenter@gmail.com,Dr. Widmark Dy,"Jan. 1, 2022 to Dece. 31, 2024"
REGION 11,SOUTHERN MINDANAO,DAVAO DEL SUR,Davao City,"Unit 1 & 2-A Bajada Plaza Building, Brgy. Paciano Bangoy, Agdao Dist, Davao city",PVT,CENTER FOR AMBULATORY SURGERY AND TOTAL MEDICAL CARE OF DAVAO (CAST-MD) INC. ,"General Surgery, Orthopedic, Otorhinolaryngologic, Plastic and Reconstructive, Reproductive Health, Thoracic, Urologic",0905-4076717,castmd.asu2020@gmail.com/darklenekatevic2015@gmail.com,Dr. Jeremiah R. Morales,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 11,SOUTHERN MINDANAO,DAVAO DEL SUR,Davao City,"McArthur Highway, Dumay, Davao City",PVT,"DAVAO DOCTORS HOSPITAL (CLINICA HILARIO), INC.","General Surgery, Plastic & Reconstructive, Reproductive Health",082-2952556 / 2264770 fax,,,"Jan. 1, 2023 to Dec. 31, 2025"
REGION 11,SOUTHERN MINDANAO,DAVAO DEL SUR,Davao City,"Door #20 JJ's Commune A. Loyola St., Obrero, Davao City, Davao del sur",PVT,DAVAO EYEMDS LASER AND SURGERY CENTER,Ophthalmologic,9176223887,davaoeyemds@gmail.com,Dr. Myra Grace Villanueva,"Jan. 1, 2022 to Dece. 31, 2024"
REGION 11,SOUTHERN MINDANAO,DAVAO DEL SUR,Davao City,"Unit 101-B & 103-B, Robinsons Cybergate Davao, J.P. Laurel St., Bajada, Davao City",PVT,FAMILY EYE CARE,Ophthalmologic,287-0066 / 0917-7201685,,Dr. Manolito S. Limalima,"Jan. 1, 2021 to Dec.31, 2023"
REGION 11,SOUTHERN MINDANAO,DAVAO DEL SUR,Davao City,"G/F SPCRD Bldg., Pichon (Magallanes) cor. Ilustre Sts., Brgy. 2-A, Davao Ctiy",PVT,"FRIENDLYCARE FOUNDATION, INC.","General Surgery, Reproductive Health",082-2274247,fcfi.laboratory@gmail.com,Dr. Annabel A. Uy,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 11,SOUTHERN MINDANAO,DAVAO DEL SUR,Davao City,"cor. Quirno Ave & Mayon St., Davao City",PVT,INTEGRATED CLINICS OF OTOLARYNGOLOGY - HEAD & NECK SURGERY,Otorhinolaryngologic,082-227-7343,icohscenter@yahoo.com,Dr. Gil A. Yarra,"Jan. 1, 2021 to Dec. 31, 2023"
REGION 11,SOUTHERN MINDANAO,DAVAO DEL SUR,Davao City,"53 Arellano St., Brgy. 10-A, Davao City",PVT,"LPA AMBULATORY SURGERY AND DIAGNOSTIC CENTER, INC.","General Surgery, Ophthalmologic, Otorhinolaryngologic",082-2224208 / 0922-8925031,,Dr. Luz P. Acosta,"Jan. 1, 2023 to Dec. 31, 2025"
REGION 11,SOUTHERN MINDANAO,DAVAO DEL SUR,Davao City,"Camp Sgt Quintin M Merecido, Brgy. Buhangin, Davao City, Davao Del Sur",PVT,PNP- PRO 11 AMBULATORY SURGICAL CLINIC ,General Surgery,082-2720083/0917-7175099,csqmmhospital@gmail.com,"Dr. Manuel R. Garcia, Jr.","Nov. 11, 2021 to Dec. 31, 2023"
REGION 12,SOCCSKSARGEN,NORTH COTABATO,Kabacan,"Kayaga, Kabacan, North Cotabato",PVT,DESERET AMBULATORY REFERRAL CENTER FOUNDATION INC.,Ophthalmologic,09104454812/09209091094/09266739136,deseretambulatoryrcfi@gmail.com,"Dr. Kadil M. Sinolinding, Jr.","Jan. 1, 2022 to Dec. 31, 2024"
REGION 12,SOCCSKSARGEN,SOUTH COTABATO,Gen. Santos City,"Kadulasan St., Dadiangas East, Gen. Santos City",PVT,BEACON EYE CENTER,Ophthalmologic,083-5538930,,Dr. Kent X. Wee,"Jan. 1, 2021 to Dec.31, 2023"
REGION 12,SOCCSKSARGEN,SOUTH COTABATO,Gen. Santos City,"G/F Santanna Bldg., Sanitago Blvd., Gen. Santos City",PVT,"UROLOGY CENTER OF SOCSKSARGEN, INC.",Urologic,09177064326/09177268274/083-5523489/083-5209535,shockwave_ucsi@yahoo.com.ph,Dr. Ronaldo G. Veneracion,"Jan. 1, 2022 to Dec. 31, 2024"
REGION 12,SOCCSKSARGEN,SULTAN KUDARAT,Tacurong City,"Lapu-Lapu St., Poblacion, Tacurong City, Sultan Kudarat",PVT,CABALUNA SURGICAL CENTER,"General Surgery, Ophthalmologic, Otorhinolaryngologic, Orthopedic, Reproductive Health, Thoracic, Urologic",064-5624090/09175912366/09756106508,vancabaluna@yahoo.com,Dr. Stephen Salvilla,"Jan. 1, 2022 to Dece. 31, 2024"
NCR,METRO MANILA,,Manila,"Rm. 321, GMG Bldg., 1141-1154 Pres. Quirino Ave. Extension, Paco, Manila",PVT,AVERRA MEDICAL CLINIC,Ophthalmologic,0917-8062656 / 0917-4394050,,Dr. Richard Atanis,"Jan. 1, 2023 to Dec. 31, 2025"
NCR,METRO MANILA,,Manila,"1000 Cordillera cor. Lubiran St., Bacood, Sta. Mesa, Manila",PVT,"BUDDHIST TZU CHI MEDICAL FOUNDATION PHILIPPINES, INC.",Ophthalmologic,4529820/09189332893/09190741922/09088994393,tzuchiclinicphils@gmail.com,Dr. Bernardita C. Navarro,"Jan. 1, 2022 to Dec. 31, 2024"
NCR,METRO MANILA,,Manila,"3578 Lingayen St., Brgy 605, Sta. Mesa, Manila",PVT,"CRANIO-FACIAL FOUNDATION OF THE PHILIPPINES, INC.","Plastic & Reconstructive, Oral Maxillo-Facial",714-0611 / 7168526,,Dr. Maria Redencion Bukid-Abella,"Jan. 1, 2021 to Dec. 31, 2023"
NCR,METRO MANILA,,Manila,"3/F & 4/F Ramon Magsaysay Blvd., Sta. Mesa, Manila",PVT,CVMC CLINIC AND SURGICENTER,"General Surgery, Ophthalmologic, Otorhinolaryngologic, Orthopedic",02-3106822/09065907592,cvmc.clinicsurgicenter@gmail.com,Dr. Rene Luis F. Filarca,"Jan. 1, 2022 to Dec. 31, 2024"
NCR,METRO MANILA,,Manila,"2/F BMCI Bldg., 1142 Hermosa St., Brgy. 201-A, Zone 18, Tondo, Manila",PVT,"HERMOSA SURGICAL CARE CENTER, INC.",Ophthalmologic,5541267/09454876530/0932576594/09178074611/02-86215496/09951548159,lorraine@descretoptical.com/hermosa@deseretoptical.com,Dr. Victoria Madduma,"Jan. 1, 2022 to Dec. 31, 2024"
NCR,METRO MANILA,,Manila,"1575-A Lorenzo Jr. St. cor. Rizal Ave., Sta. Cruz, Manila",PVT,"I.M. HEALTH MEDICAL SERVICES AND WELLNESS CENTER, INC.","General, Pediatric & Thoracic Surgery",7429762/85294720/09171021259,imhealthratex1@gmail.com/ascimhealth@gmail.com,Dr. Arlene C. Duque,"Jan. 1, 2022 to Dec. 31, 2024"
NCR,METRO MANILA,,Manila,"Unit 2 & 3 GKK Bldg., 1420 Sto. Sepulcro St., Paco, Manila",PVT,"LASER AESTHETICS AND VISION INSTITUTE, INC.",Ophthalmologic,02-85213303,laseraesthetic@yahoo.com,Dr. William Olalia,"Jan. 1, 2021 to Dec.31, 2023"
NCR,METRO MANILA,,Manila,"Endriga Bldg., 2270 Taft Ave., Malate, Manila",PVT,"MANILA EYE AND SURGICAL CENTER, INC.",Ophthalmologic,5221144,,Dr. Rogelio Catapang,"Jan. 1, 2023 to Dec. 31, 2025"
NCR,METRO MANILA,,Manila,"3rd Level, Pedro Gil Wing, Robinsons Plaza, Ermita, Manila",PVT,MY HEALTH CLINIC - MANILA,"Colorectal, General Surgery, Ophthalmologic, Oral Maxillo-Facial, Orthopedic, Otolaryngologic, Plastic & Reconstructive, Reproductive Health, Thoracic, Urologic",0917-8165941,,Dr. Edward Sare,"Jan. 1, 2023 to Dec. 31, 2025"
NCR,METRO MANILA,,Manila,"Unit 025 LGF SM City Manila, Concepcion cor. Arroceros & San Marcelino Sts., Manila",PVT,NOVAGEN EYE CENTER CO.,Ophthalmologic,0998-5542020 / 2443811,,Dr. Ferdinand E. Tan,"Jan. 1, 2023 to Dec. 31, 2025"
NCR,METRO MANILA,,Manila,"c/o Medical Center Manila (ManilaMed) #880 United Nations Avenue corner General Luna Street, Ermita, Manila",PVT,PHILIPPINE ONCOLOGY CENTER CORPORATION,General Surgery,02-85238131 loc 2547,info.st.manilamed@gmail.com,Dr. Vicente Francisco R. Hizon,"Jan. 1, 2021 to Dec. 31, 2023"
NCR,METRO MANILA,,Manila,"Unit A, B, C & D 2nd Floor, YKM Center, United Nations Avenue corner Alhambra Street, Brgy. 667 Zone 072, Ermita, Manila",PVT,"PREMIERE EYE DIAGNOSTIC AND TREATMENT CENTER, CORP.",Ophthalmologic,09192431592/09166492787/82828099/09283664325,eqbuagas@yahoo.com/humanresource.perc@gmail.com,Dr. Patricia M. Khu,"Jan. 1, 2022 to Dec. 31, 2024"
NCR,METRO MANILA,,Manila,"UPM-PGH Faculty Medical Arts Bldg., UP-PGH Compound, Taft Ave., Manila",PVT,HEALTHWAY QUALIMED MANILA,"Colorectal, General Surgery, Ophthalmologic, Oral Maxillo-Facial, Orthopedic, Otolaryngologic, Pediatric, Plastic & Reconstructive, Reproductive Health, Thoracic, Urologic",7080000 loc. 192 / 5754620 / fax-5161637,,,"Jan. 1, 2023 to Dec. 31, 2025"
NCR,METRO MANILA,,Manila,"2081 Pres. Quirino Ave., Pandacan, Manila",PVT,"YGEIA MEDICAL CENTER, INC.","Colorectal, General Surgery, Orthopedic, Thoracic, Urologic",562-7465 562-7464 5635456 5218777,,Dr. Roberto de Leon,"Jan. 1, 2021 to Dec. 31, 2023"
NCR,METRO MANILA,,Quezon City,"Rms. 3208 & 3219, 3/F Dialysis Center & Doctors Clinics, NKTI East Ave., Quezon City",PVT,"ASIA PACIFIC EYE CARE SPECIALISTS, INC.",Ophthalmologic,898269910,apecsmd2007@gmail.com,Dr. Daniel N. Ong,"Jan. 1, 2021 to Dec. 31, 2023"
NCR,METRO MANILA,,Quezon City,"3rd Level TF-RT-02 Paragon Place, Brgy. Batasan Hills, Quezon City",PVT,GENOVA SURGICAL CARE CO.,"General Surgery, Ophthalmologic, Otorhinolaryngologic",84423479/09989959952,,Dr. Ma. Lorena Ruth G. Capinpin,"Jan. 1, 2021 to Dec. 31, 2023"
NCR,METRO MANILA,,Quezon City,"118 Malakas, Central IV, Quezon City",PVT,GP GENESIS DIALYSIS CLINIC DIAGNOSTIC CENTER,"General Surgery, Plastic & Reconstructive",84411409,,Dr. Susan Añonuevo-Dela Rama,"Jan. 1, 2021 to Dec. 31, 2023"
NCR,METRO MANILA,,Quezon City,"5th Level, SM The Block, North EDSA, Quezon City",PVT,"HMC, INC.","Colorectal, General Surgery, Ophthalmologic, Oral & Maxillo-Facial, Orthopedic, Otorhinolaryngologic, Pediatric, Reproductive Health, Urologic, Thoracic",7206107,,Dr. Francisco Marconi Mangonon,"Jan. 1, 2023 to Dec. 31, 2025"
NCR,METRO MANILA,,Quezon City,"G/F Anita Bldg., 1300 Timog Ave. cor. Quezon Ave., South Triangle, Quezon City",PVT,"I-SIGHT VISION CENTER, INC.",Ophthalmologic,4166701/09178135190/02-77540750,admin@isight.ph,Dr. Alfred H. Tengonciang,"Jan. 1, 2022 to Dec. 31, 2024"
NCR,METRO MANILA,,Quezon City,"305 Tomas Morato cor. Sct. Madriñan Sts., South Traingle, Quezon City",PVT,"INTELLIGENT BEAUTY SKIN SOLUTIONS, INC.",Plastic & Reconstructive,736-3266 loc. 209,,Dr. Ronaldo Cayetano,"Jan. 1, 2023 to Dec. 31, 2025"
NCR,METRO MANILA,,Quezon City,"Level 2, Gateway Mall, Gen. Aguinaldo Ave., Socorro 3, Araneta City, Quezon City",PVT,KERALTY CLINIC ,"Colorectal, General Surgery, Oral Facial-Maxillo, Orthopedic, Reproductive Health, Urologic",9164596022,paouline.pena@keralty.com.ph,Jonathan Leh Dy,"Nov. 29, 2021 to Dec. 31, 2023"
NCR,METRO MANILA,,Quezon City,"11th Floor, 1616 Triumph Square Bldg., South Triangle, Quezon City",PVT,"LUMINA AESTHETIC SCIENCE, INC.",Plastic and Reconstructive Surgery,,,,"Mar. 17, 2023 to Dec. 31, 2025"
NCR,METRO MANILA,,Quezon City,"#10 15th Ave., Murphy, Cubao, Quezon City",PVT,MADRID POLYCLINIC AND DIAGNOSTIC CENTER,"Colorectal, General Surgery, Otolaryngologic, Reproductive Health, Urologic, Thoracic",912-1235 / 913-1002 911-7375 fax,madrid_polyclinic35@yahoo.com,Dr. Romulo L. Madrid,"Jan. 1, 2021 to Dec.31, 2023"
NCR,METRO MANILA,,Quezon City,"2nd Floor, Lemon Tree Inn #18 Scout Magbanua, Barangay Paligsahan, Quezon City",PVT,"MANILA LITHOTRIPTERS, INC.",Urologic,3321939,laserstonecenter@gmail.com,Dr. Julius C. Cajucom,"Mar. 3. 2023 to Dec. 31, 2025"
NCR,METRO MANILA,,Quezon City,"2nd Level Bldg. F, SM City North EDSA, Quezon City",PVT,MY HEALTH CLINIC,"Colorectal, General Surgery, Orthopedic, Otolaryngologic, Plastic & Reconstructive, Reproductive Health, Thoracic, Urologic",4414106,,Dr. Steven N. Pua,"Jan. 1, 2023 to Dec. 31, 2025"
NCR,METRO MANILA,,Quezon City,"Unit 008-009 Lower Ground Floor, New Annex Bldg., SM Fairview, Quirino Highway, Fairview, Quezon City",PVT,NOVAGEN EYE CENTER CO.,Ophthalmologic,788-2020,,Dr. Ferdinand E. Tan,"Jan. 1, 2023 to Dec. 31, 2025"
NCR,METRO MANILA,,Quezon City,"Unit 306-308 Northlink Bldg., SM North EDSA, Quezon City",PVT,"PERFECTSIGHT, INC.",Ophthalmologic,352-1620,,Dr. Marivic T. Vera Cruz,"Jan. 1, 2023 to Dec. 31, 2025"
NCR,METRO MANILA,,Quezon City,"#22 East Ave., Pinyahan, Diliman, Quezon City",PVT,PHILIPPINE BAND OF MERCY,"General Surgery, Colorectal, Ophthalmologic, Orthopedic, Pediatric, Plastic & Reconstructive, Thoracic",9205178/9288566/09328858874/09179624162,philbandofmercy@hotmail.com,Dr. Hector M. Santos,"Jan. 1, 2022 to Dec. 31, 2024"
NCR,METRO MANILA,,Quezon City,"Basement, Marian Medical Arts Bldg., Dahlia St., West Fairview, Quezon City",PVT,PHILIPPINE ONCOLOGY CENTER CORPORATION,General Surgery,3723208/9358947-49/09178566149/84295082/09176261747,infopocc@gmail.com/mye.pocc@gmail.com,Dr. Jose C. Herrera Jr.,"Jan. 1, 2022 to Dec. 31, 2024"
NCR,METRO MANILA,,Quezon City,"Bell Kenz Tower, 127 Malakas St., Brgy. Central, Quezon City",PVT,"PREMIERE ENDOSCOPY CENTER, INC.","Colorectal, General Surgery",09177141951/09178575613/09297970690/4269745/09064741687/9616447,greatathena2@gmail.com/premiereendo@gmail.com,Dr. Danilo S. Santos,"Jan. 1, 2022 to Dec. 31, 2024"
NCR,METRO MANILA,,Quezon City,"AC Bldg., #38 Sct. Ybardolaza St. cor. Sct. Rallos St., Sacred Heart, Quezon City",PVT,"RUBRICS INTERNATIONAL HEALTH SERVICES, INC.",Urologic,480-5040 929-0758,,Dr. Maria Irene Quijano,"Jan. 1, 2023 to Dec. 31, 2025"
NCR,METRO MANILA,,Quezon City,"Shopking Mall, Lower Ground Floor, Xentromed, Commonwealth Ave., Quezon City",PVT,"SPORTS SURGICENTER AND CLINIC, INC. ",General surgery,9950721000,xentromedmultispecialty@gmail.com,Dr. Alberto Ma. V. Molano,"Sept. 20, 2021 to Dec. 31, 2023"
NCR,METRO MANILA,,Quezon City,"22 East Avenue, Brgy. Pinyahan, Diliman, Quezon City",PVT,ST. PEREGRINE SURGICAL AND CANCER CENTER,"General, Opthalmologic, Otorhinolaryngologic, Orthopedic, Plastic & Reconstructive Thoracic Surgery",09177201685/5118507,susan.pagcu@peregrineeye.com/st.peregrinesurgicenter.com,Dr. Mel Anthony Y. Cruz,"Jan. 1, 2022 to Dec. 31, 2024"
NCR,METRO MANILA,,Quezon City,"SMNE AXI 101-1, The Annex SM City North EDSA, Quezon City",PVT,THE MEDICAL CITY CLINIC @ SM NORTH,"General Surgery, Ophthalmologic, Otorhinolaryngologic, Urologic",441-2284 441-2919 709-8175,,Dr. Marianne N. Almojar,"Jan. 1, 2023 to Dec. 31, 2025"
NCR,METRO MANILA,,Quezon City,"G003 Trinoma Mall, EDSA cor. North Ave., Barangay Bagong Pag-asa, Quezon City",PVT,THE MEDICAL CITY CLINIC @ TRINOMA ,"General Surgery, Otorhinolaryngologic, Urologic",79432257/09328537613,tmctrinoma@themedicalcity.com,Dr. Vincent Marcus S. Abadilla,"Dec. 22, 2021 to Dec. 31, 2023"
NCR,METRO MANILA,,Quezon City,"799 EDSA South Bound, Brgy. South Triangle, Quezon City",PVT,"VICTORIA SKIN LASER CARE CENTER, INC.","General Surgery, Ophthalmologic, Plastic & Reconstructive",8333333 loc 102,,Dr. Richard Joseph Cabotaje,"Jan. 1, 2021 to Dec. 31, 2023"
NCR,METRO MANILA,,Quezon City,"Unit 201-202, 886 G. Araneta, Brgy. Tatalon, Quezon City",PVT,WOUND CARE AND VASCULAR CENTER INCORPORATED,General Surgery,09272157970/82838589/09171555393,woundhealingmanila@gmail.com,Dr. Luinio S. Tongson,"Jan. 1, 2022 to Dec. 31, 2024"
NCR,METRO MANILA,,Quezon City,"Corporate 101 Bldg., Unit 208, 101 Mother Ignacia St. cor. Sct. Madriñan, South Triangle, Quezon City",PVT,ZI INSTITUTE OF PLASTIC SURGERY AND DERMAESTHETIC,Plastic & Reconstructive,02-83762881,zi_institute@yahoo.com,"Dr. Lutgardo C. Caparas, Jr.","Jan. 1, 2021 to Dec. 31, 2023"
NCR,METRO MANILA,,Las Piñas City,"0105A Lower Ground Floor, SM Southmall, Almanza I, Las Piñas City",PVT,"CASA MEDICA, INC.","General Surgery, Ophthalmologic, Orthopedic, Otorhinolaryngologic, Plastic & Reconstructive",8067831/8066863/09988972485,casamedicasouthmall@yahoo.com,Dr. Alvin Benjamin De Leon,"Jan. 1, 2022 to Dec. 31, 2024"
NCR,METRO MANILA,,Las Piñas City,"G/F Unimall Bldg., Alabang Zapote Road, Pamplona Tres, Las Piñas City",PVT,PERPETUAL HELP STONE AND PROSTATE CENTER,Urologic Surgery - Extracorporeal Shock Wave Lithotripsy (ESWL),19153479679/88748515 loc 722/09175232205,ishus0921@gmai.com/healthcarebyishuc@gmail.com,Dr. Benadette Marie Tamayo,"Jan. 1, 2022 to Dec. 31, 2024"
NCR,METRO MANILA,,Makati City,"8/F Centuria Medical Makati Kalayaan Ave. cor. Salamanca St. Century City, Brgy. Poblacion, Makati City",PVT,ASIAN BREAST CENTER INC.,"General Surgery, Plastic & Reconstructive",632-8630616/8630617,ask.abc@asianbreastcenter.com,Dr. Norman San Agustin,"Jan. 1, 2023 to Dec. 31, 2025"
NCR,METRO MANILA,,Makati City,"8th & 10th Floor, Phinma Plaza Bldg., Rockwell Center, Makati City",PVT,"ASIAN EYE INSTITUTE, INC.",Ophthalmologic,898-2020,,Dr. Juan R. Nañagas,"Jan. 1, 2023 to Dec. 31, 2025"
NCR,METRO MANILA,,Makati City,"Suite 1401, Medical Plaza, Amorsolo cor. Dela Rosa Sts., Legaspi Village, Makati City",PVT,"BELO MEDICAL GROUP, INC.",Plastic & Reconstructive,8179777/85395913/09178078868,dreyes@belomed.com,Dr. Philip Buñag,"Jan. 1, 2022 to Dec. 31, 2024"
NCR,METRO MANILA,,Makati City,"1 Hercules St. cor. Makati Ave., Bel-air Village, Makati City",PVT,HEALTH HUB CLINIC,"Colorectal, General Surgery, Ophthalmologic, Oral Maxillo-Facial, Orthopedic, Otorhinolaryngologic, Pediatric, Plastic & Reconstructive, Reproductive Health, Urologic",9175041483,,Dr. Judith Cabanela,"Jan. 1, 2021 to Dec. 31, 2023"
NCR,METRO MANILA,,Makati City,"4th Level, Greenbelt 5, Ayala Center, Makati City",PVT,"HMC, INC.","Colorectal, General Surgery, Ophthalmologic, Oral Maxillo-Facial, Orthopedic, Otolaryngologic, Pediatric, Plastic & Reconstructive, Reproductive Health, Urologic, Thoracic",7206109/7514929,,Dr. Marilou C. Lintag,"Jan. 1, 2021 to Dec. 31, 2023"
NCR,METRO MANILA,,Makati City,"8/F Tower I, The Enterprise Center, 6766 Ayala Ave. cor. Paseo de Roxas, Makati City",PVT,KATO REPRO BIOTECH CENTER,Reproductive Health (IVF),822-1209,,Dr. Rudie Frederick B. Mendiola,"Jan. 1, 2021 to Dec. 31, 2023"
NCR,METRO MANILA,,Makati City,"G/F Kings Court Bldg. 2, Don Chino Roces Ave., Makati City",PVT,"MEDICARD PHILIPPINES, INC.","General Surgery, Ophthalmologic, Orthopedic, Otolaryngologic, Pediatric, Plastic & Reconstructive, Reproductive Health, Urologic",02-88110390,,Dr. Catherine B. Jimenez,"Jan. 1, 2021 to Dec. 31, 2023"
NCR,METRO MANILA,,Makati City,"51 Paseo de Roxas cor. Sen. Gil Puyat Ave., Makati City",PVT,"MEDICARD PHILIPPINES, INC.","Colorectal, General Surgery, Ophthalmologic, Otolaryngologic, Plastic & Reconstructive",02-88785101 loc 5187,mboquiron@medicardphils.com,Dr. Nicanor Montoya,"Jan. 1, 2021 to Dec.31, 2023"
NCR,METRO MANILA,,Makati City,"5/F Morning Star Center, 347 Sen. Gil Puyat Ave., Bel-Air, Makati City",PVT,PEREGRINE EYE & LASER INSTITUTE CORP.,Ophthalmologic,88900115,susan.pagcu@peregrineeye.com,Dr. Harvey S. Uy,"Jan. 1, 2023 to Dec. 31, 2025"
NCR,METRO MANILA,,Makati City,"1714 Evangelista St., Bangkal, Makati City",PVT,"RG MEDICAL CLINIC, INC.,",General Surgery,,,,"Feb. 15, 2023 to Dec. 31, 2025"
NCR,METRO MANILA,,Makati City,"Mezzanine Floor, Tower 2, The Enterprise Center, 6766 Ayala Ave. cor. Paseo de Roxas, Makati City",PVT,SHINAGAWA LASIK & AESTHETICS CENTER CORP.,"Ophthalmologic, Plastic & Reconstructive",34910000,viceral@shinagawa.ph,Dr. Michelle P. Rivera-Nuñez,"Jan. 1, 2021 to Dec. 31, 2023"
NCR,METRO MANILA,,Makati City,"7/F Centuria Medical Makati, Century City, Kalayaa Ave. cor. Salamanca St., Brgy. Poblacion, Makati City",PVT,SURGERY CENTER OF CENTURIA MEDICAL MAKATI,"Colorectal, General Surgery, Ophthalmologic, Oral & Maxillo-Facial, Orthopedic, Otorhinolaryngologic, Plastic & Reconstructive, Reproductive Health, Urologic",09178071711/09338230911/7938717,lci.agripa@thesurgery.center,Dr. Farah Margarita Aure,"Jan. 1, 2022 to Dec. 31, 2024"
NCR,METRO MANILA,,Makati City,"Suite 1605 and 1610, 16th Floor, Medical Plaza, Makati Bldg., Amorsolo St., Legazpi Village, Makati City",PVT,XAVIER EYE CENTER,Ophthalmologic,9399279534,,Dr. Paolo Joseph Miguel,"Jan. 1, 2021 to Dec. 31, 2023"
NCR,METRO MANILA,,Malabon City,"Level 02210-02212 Robinsons Tower Mall, # 15 Gov. Pascual Ave. cor. Crispin St., Tinajeros, Malabon",PVT,MEDEXCEL HEALTHCARE + INC.,"General Surgery, Ophthalmologic",77994345,,Dr. Marivic T. Vera Cruz,"Jan. 1, 2021 to Dec.31, 2023"
